cidade,ano,0a1,1a2,2a3,3a4,4a5,5a6,6a7,7a8,8a9,9a10,acima10
MAUA,2017,3235.0,3289.0,4923.0,6825.0,8173.0,8221.0,10642.0,10673.0,8958.0,11792.0,139353.0
MAUA,2018,4260.0,4134.0,3643.0,5074.0,7074.0,8350.0,8618.0,11051.0,11017.0,9236.0,151752.0
MAUA,2019,4421.0,5463.0,4565.0,3874.0,5353.0,7464.0,8784.0,9081.0,11570.0,11299.0,161245.0
MAUA,2020,3135.0,5317.0,5728.0,4781.0,4113.0,5615.0,7752.0,9060.0,9296.0,11807.0,172873.0
MAUA,2021,3843.0,3663.0,5583.0,5823.0,4956.0,4316.0,5863.0,8009.0,9270.0,9617.0,184925.0
MAUA,2022,3099.0,4022.0,3802.0,5776.0,5992.0,5151.0,4401.0,6075.0,8014.0,9437.0,194294.0
MOGI DAS CRUZES,2015,6072.0,11717.0,14049.0,12123.0,13567.0,12430.0,10044.0,11703.0,10423.0,7907.0,107730.0
MOGI DAS CRUZES,2016,4885.0,8244.0,11921.0,13967.0,11940.0,13463.0,12392.0,10041.0,11689.0,10426.0,115426.0
MOGI DAS CRUZES,2017,6102.0,6727.0,8764.0,11599.0,13429.0,11743.0,13485.0,12377.0,10110.0,11754.0,125735.0
MOGI DAS CRUZES,2018,6945.0,7933.0,7200.0,8784.0,11494.0,13023.0,11520.0,13305.0,12348.0,10189.0,137664.0
MOGI DAS CRUZES,2019,7894.0,9351.0,8486.0,7219.0,8586.0,11284.0,12467.0,11495.0,13174.0,12376.0,147591.0
MOGI DAS CRUZES,2020,5991.0,9973.0,9806.0,8481.0,7082.0,8552.0,11237.0,12280.0,11380.0,13037.0,160061.0
MOGI DAS CRUZES,2021,8953.0,6997.0,10485.0,9688.0,8367.0,6873.0,8326.0,11048.0,12204.0,11333.0,172997.0
MOGI DAS CRUZES,2022,8567.0,10284.0,7366.0,10649.0,9615.0,8290.0,6817.0,8214.0,10912.0,12133.0,183931.0
OSASCO,2015,8788.0,15768.0,18328.0,19656.0,24169.0,23236.0,20332.0,24264.0,21759.0,16926.0,208521.0
OSASCO,2016,6255.0,11315.0,16012.0,18558.0,19959.0,24281.0,23331.0,20385.0,24198.0,21461.0,222865.0
OSASCO,2017,7277.0,8337.0,12102.0,16430.0,19095.0,20167.0,24181.0,23346.0,20089.0,23849.0,240879.0
OSASCO,2018,9329.0,9741.0,9103.0,12736.0,16880.0,19270.0,20130.0,24289.0,23197.0,19777.0,260975.0
OSASCO,2019,9750.0,12532.0,10990.0,9672.0,13486.0,17148.0,19413.0,19936.0,24094.0,22767.0,276758.0
OSASCO,2020,6926.0,12376.0,13431.0,11347.0,10021.0,13748.0,17251.0,19325.0,19857.0,23924.0,295850.0
OSASCO,2021,8083.0,8459.0,13385.0,13776.0,11612.0,10176.0,13713.0,17089.0,19122.0,19497.0,314828.0
OSASCO,2022,7045.0,8908.0,8922.0,13905.0,14056.0,11862.0,10274.0,13559.0,17101.0,19161.0,331611.0
PAULINIA,2015,2179.0,3885.0,4576.0,4179.0,4788.0,4243.0,3572.0,3984.0,3536.0,2657.0,30561.0
PAULINIA,2016,1838.0,2770.0,4016.0,4602.0,4122.0,4670.0,4182.0,3572.0,3919.0,3518.0,33293.0
PAULINIA,2017,2150.0,2286.0,2834.0,3954.0,4555.0,4046.0,4650.0,4195.0,3515.0,3853.0,36751.0
PAULINIA,2018,2870.0,2669.0,2316.0,2838.0,3901.0,4469.0,4074.0,4615.0,4173.0,3642.0,40748.0
PAULINIA,2019,2853.0,3507.0,2786.0,2319.0,2850.0,3771.0,4335.0,3918.0,4523.0,4183.0,44269.0
PAULINIA,2020,1701.0,3671.0,3585.0,2859.0,2326.0,2858.0,3741.0,4231.0,3852.0,4436.0,48065.0
PAULINIA,2021,2361.0,2149.0,3784.0,3601.0,2864.0,2287.0,2775.0,3671.0,4225.0,3803.0,52254.0
PAULINIA,2022,2181.0,2594.0,2229.0,3852.0,3564.0,2834.0,2249.0,2803.0,3662.0,4161.0,56175.0
PIRACICABA,2015,6917.0,11791.0,15117.0,15574.0,17137.0,14919.0,12676.0,15841.0,14192.0,10447.0,147123.0
PIRACICABA,2016,6131.0,8766.0,12022.0,15194.0,15396.0,16800.0,14659.0,12496.0,15574.0,14053.0,156514.0
PIRACICABA,2017,7083.0,7850.0,9091.0,12013.0,15041.0,15204.0,16625.0,14551.0,12440.0,15332.0,169352.0
PIRACICABA,2018,8589.0,8945.0,8036.0,9204.0,11962.0,14939.0,15071.0,16515.0,14391.0,12338.0,183789.0
PIRACICABA,2019,9554.0,10900.0,9316.0,8008.0,9179.0,12038.0,14835.0,14935.0,16359.0,14254.0,195084.0
PIRACICABA,2020,6968.0,11430.0,11159.0,9309.0,7903.0,9088.0,11944.0,14524.0,14734.0,16192.0,208329.0
PIRACICABA,2021,7478.0,8089.0,11646.0,10981.0,9022.0,7628.0,8893.0,11716.0,14275.0,14423.0,222014.0
PIRACICABA,2022,7892.0,8160.0,8309.0,11763.0,10984.0,8997.0,7562.0,8871.0,11670.0,14158.0,235618.0
PRESIDENTE PRUDENTE,2015,4813.0,7295.0,8853.0,8720.0,9930.0,8993.0,7900.0,9166.0,6992.0,5661.0,77389.0
PRESIDENTE PRUDENTE,2016,3727.0,6035.0,7734.0,8921.0,8798.0,9869.0,8903.0,7847.0,9113.0,6993.0,82791.0
PRESIDENTE PRUDENTE,2017,4253.0,4903.0,6319.0,7805.0,8837.0,8714.0,9725.0,8761.0,7785.0,9111.0,89319.0
PRESIDENTE PRUDENTE,2018,4678.0,5443.0,5129.0,6431.0,7807.0,8817.0,8568.0,9593.0,8636.0,7609.0,97709.0
PRESIDENTE PRUDENTE,2019,4849.0,5951.0,5918.0,5125.0,6368.0,7677.0,8776.0,8362.0,9302.0,8393.0,104204.0
PRESIDENTE PRUDENTE,2020,3535.0,6118.0,6373.0,5910.0,5015.0,6228.0,7522.0,8534.0,8158.0,9021.0,111201.0
PRESIDENTE PRUDENTE,2021,4088.0,4201.0,6604.0,6332.0,5774.0,4854.0,5994.0,7296.0,8259.0,7941.0,118454.0
PRESIDENTE PRUDENTE,2022,3858.0,4471.0,4498.0,6719.0,6242.0,5699.0,4732.0,5883.0,7118.0,8096.0,125070.0
